val_set_id,date,uf,pdo,q10,q20,q30,q40,q50,q60,q70,q80,q90
1,2022-06-26,AC,0.46021223068237305,0.4090862274169922,0.4280444085597992,0.44123145937919617,0.4512166380882263,0.46021223068237305,0.4689938724040985,0.4780598282814026,0.48903849720954895,0.5048711895942688
1,2022-07-03,AC,0.44609037041664124,0.3670912981033325,0.3966256380081177,0.4161779284477234,0.4321793019771576,0.44609037041664124,0.459896057844162,0.4739924967288971,0.49076420068740845,0.5142534375190735
1,2022-07-10,AC,0.43766286969184875,0.3434654176235199,0.3778376579284668,0.40187716484069824,0.42087531089782715,0.43766286969184875,0.45403799414634705,0.4709937572479248,0.4909904897212982,0.5176817774772644
1,2022-07-17,AC,0.43377602100372314,0.3319697082042694,0.36913830041885376,0.394953191280365,0.415522962808609,0.43377602100372314,0.4516783356666565,0.47049611806869507,0.4918759763240814,0.5215534567832947
1,2022-07-24,AC,0.4314815402030945,0.3263159990310669,0.36452972888946533,0.39057737588882446,0.4118013083934784,0.4314815402030945,0.4504181742668152,0.47014349699020386,0.4927193522453308,0.5248068571090698
1,2022-07-31,AC,0.42945384979248047,0.3223916292190552,0.36106061935424805,0.38693180680274963,0.4091516137123108,0.42945384979248047,0.44964879751205444,0.4701967239379883,0.494073748588562,0.5277300477027893
1,2022-08-07,AC,0.42834463715553284,0.318832129240036,0.3581472933292389,0.3848452866077423,0.4075287878513336,0.42834463715553284,0.4492262005805969,0.4709198772907257,0.4957493841648102,0.5313525199890137
1,2022-08-14,AC,0.4278830885887146,0.3149726986885071,0.3553924560546875,0.3829965591430664,0.4065033793449402,0.4278830885887146,0.4488348066806793,0.47126680612564087,0.49705222249031067,0.5339987277984619
1,2022-08-21,AC,0.42779242992401123,0.3127138614654541,0.3536607027053833,0.3816121220588684,0.40584856271743774,0.42779242992401123,0.4489961266517639,0.4717958867549896,0.4988616406917572,0.5369171500205994
1,2022-08-28,AC,0.4277235269546509,0.30987632274627686,0.3518362045288086,0.38102853298187256,0.4055619537830353,0.4277235269546509,0.44953736662864685,0.47279372811317444,0.5007234215736389,0.5400742292404175
1,2022-09-04,AC,0.4289545714855194,0.30945056676864624,0.351712703704834,0.3814184069633484,0.40636855363845825,0.4289545714855194,0.4514772295951843,0.4752436578273773,0.5034897923469543,0.5443774461746216
1,2022-09-11,AC,0.4292260408401489,0.30809491872787476,0.35100871324539185,0.38093364238739014,0.40634584426879883,0.4292260408401489,0.45200684666633606,0.4761088788509369,0.5048378705978394,0.5468436479568481
1,2022-09-18,AC,0.4288104772567749,0.30570197105407715,0.3491722047328949,0.3795662522315979,0.40515634417533875,0.4288104772567749,0.4518057107925415,0.47661474347114563,0.5054814219474792,0.5481313467025757
1,2022-09-25,AC,0.4284883141517639,0.3033328056335449,0.3471758961677551,0.3786238133907318,0.4047759771347046,0.4284883141517639,0.4518880248069763,0.4766973853111267,0.5061979293823242,0.5495880842208862
1,2022-10-02,AC,0.42830705642700195,0.30203336477279663,0.34658023715019226,0.3777276277542114,0.40430253744125366,0.42830705642700195,0.45242059230804443,0.4776989817619324,0.5080541968345642,0.5525577068328857
